Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility
WST,0.6875725623956758,0.8354680442504797,0.022119401413606705,0.021211599931120872,0.5135818719863892,0.7120497226715088,-0.4929496645927429,0.14571397006511688,0.2874
LH,0.7330292741003722,0.8240033593767291,0.04614213669930992,0.24539561569690704,0.7814350128173828,1.8341604471206665,-0.8610914349555969,-0.11684881150722504,0.16
MOH,0.6893805179154339,0.8274009838218713,0.04750615038375943,0.3151772618293762,0.8993822932243347,2.083505868911743,-1.004097819328308,-0.16193443536758423,0.2333
INVH,0.7972038767685624,0.8273535735239189,0.025336253252066454,0.23884184658527374,0.7019739747047424,1.670431137084961,-0.723471462726593,-0.15442046523094177,0.1945
UNH,0.796862215783896,0.9397627928135803,0.043416835485795315,0.2875654101371765,0.975069522857666,2.257449150085449,-1.0482901334762573,-0.18402670323848724,0.2056
HPQ,0.8540712143061368,0.8385808134733064,0.08497446644744953,0.28382936120033264,0.872428297996521,1.9231338500976562,-0.9203340411186218,-0.15207539498806,0.2409
PNR,0.7505968793142614,0.8044353837891383,0.05012978350300009,0.19237913191318512,0.7041203379631042,1.6945997476577759,-0.7895624041557312,-0.1346820592880249,0.2404
FTNT,0.8435209845792587,0.8518619228288777,0.02634706829716026,0.2717690169811249,0.7816267013549805,1.8503856658935547,-0.8670986890792847,-0.15990664064884186,0.5592
PPL,0.8359689592229711,0.8256333682089968,0.03823413359923899,0.30919694900512695,1.026073694229126,2.288583278656006,-1.0288735628128052,-0.24805887043476105,0.1972
BDX,0.749376927585809,0.8741696467706217,0.021358773398109085,0.0,0.0,0.0,0.0,0.0,0.1894
AAL,0.9280300532544106,0.7952398611969406,0.19949917726539296,0.2563440799713135,0.8790549039840698,1.9498414993286133,-0.9381076693534851,-0.16661836206912994,0.2996
CTLT,0.7888722072586155,0.7879740068446973,0,0.28931134939193726,0.7821169495582581,1.8318101167678833,-0.8893975615501404,-0.10488928109407425,0.3202
ACN,0.7772777905952396,0.907812433961445,0.034387060616753944,0.25027552247047424,0.8193245530128479,1.8276715278625488,-0.8920131325721741,-0.09592581540346146,0.186
ES,0.7929729983779976,0.8268242780971621,0.060797399233174565,0.23756851255893707,0.7770620584487915,1.7503749132156372,-0.7920422554016113,-0.15183140337467194,0.254
LW,0.7841043598067492,0.814608039224762,0.07386544522766438,0.30482804775238037,0.9622641205787659,2.203477621078491,-0.9813358187675476,-0.20567215979099274,0.3227
