KHC,40080000
KIM,11210000
KLAC,63800000
KMB,40390000
KMI,36390000
KMX,9590000
KO,244060000
KR,32619999
L,14640000
LDOS,13910000
LEN,31210000
LH,18070000
LHX,33890000
LIN,186220000
LKQ,11460000
LLY,527230000
LMT,112300000
LNC,3620000
LNT,12520000
LOW,109550000
LRCX,78640000
LUMN,1050000
LUV,13190000
LVS,35520000
LW,13210000
LYB,29010000
LYV,18400000
MA,355580000
MAA,13670000
MAR,55810000
MAS,11730000
MCD,190280000
MCHP,37920000
MCK,62540000
MCO,57060000
MDLZ,91150000
MDT,93910000
MET,45000000
META,795310000
MGM,12160000
MHK,5110000
MKC,17320000
MKTX,8189999
MLM,27150000
MMC,93280000
MMM,49750000
MNST,53880000
MO,70590000
MOH,19750000
MOS,10670000
MPC,62230000
MPWR,21490000
MRK,262399999
MRNA,29050000
MRO,16410000
MS,117910000
MSCI,37170000
MSFT,2570000000
MSI,47160000
MTB,18550000
MTCH,8100000
MTD,21080000
MU,75800000
NCLH,5530000
NDAQ,23920000
NDSN,11990000
NEE,118140000
NEM,29240000
NFLX,183130000
NI,10530000
NKE,152800000
NLOK,9520000
NOC,70500000
NOW,121050000
NRG,10080000
NSC,42920000
NTAP,15220000
NTRS,13790000
NUE,36430000
NVDA,1030000000
NVR,17810000
NWL,2710000
NWS,12230000
NWSA,11800000
NXPI,43820000
O,33890000
ODFL,42430000
OGN,3750000
OKE,29010000
OMC,14690000
ON,27450000
ORCL,289740000
ORLY,56670000
OTIS,31360000
OXY,54460000
PARA,6930000
PAYC,9040000
PAYX,38960000
PCAR,43320000
PEAK,8480000
PEG,31240000
PENN,3010000
PEP,226910000
PFE,172770000
PFG,16219999
PG,353010000
PGR,93630000
PH,47210000
PHM,16390000
PKG,13800000
PLD,93340000
PM,138200000
PNC,44940000
PNR,9610000
PNW,8560000
POOL,12240000
PPG,28840000
PPL,18300000
PRU,32960000
PSA,42440000
PSX,51790000
PTC,16420000
PVH,4360000
PWR,22820000
PXD,55700000
PYPL,56520000
QCOM,120730000
QRVO,8500000
RCL,21740000
REG,10330000
REGN,85620000
RF,13640000
RHI,7940000
RJF,19970000
RL,7210000
RMD,21650000
ROK,30390000
ROL,18010000
ROP,51990000
ROST,39330000
RSG,46990000
RTX,118530000
SBAC,22380000
SBUX,104700000
SCHW,93630000
SEDG,4260000
SEE,4350000
SHW,60720000
SJM,11560000
SLB,79600000
SNA,13710000
SNPS,71970000
SO,74670000
SPG,36630000
SPGI,111230000
SRE,44720000
STE,20810000
STT,19940000
STX,14740000
STZ,43150000
SWK,12800000
SWKS,13660000
SYF,11510000
SYK,102620000
SYY,33340000
T,111310000
TAP,12620000
TDG,45440000
TDY,17290000
TECH,8300000
TEL,38040000
TER,12600000
TFC,37720000
TFX,8780000
TGT,50370000
TJX,100180000
TMO,169380000
TMUS,167480000
TPR,5940000
TRMB,10080000
TROW,20160000
TRV,38550000
TSCO,20580000
TSLA,646560000
TSN,16540000
TT,48380000
TTWO,22620000
TXN,128740000
TXT,14850000
TYL,15400000
UAL,11400000
UDR,10300000
UHS,8700000
ULTA,18360000
UNH,493200000
UNP,126580000
UPS,118510000
URI,27450000
USB,48430000
V,442750000
VFC,5030000
VICI,28810000
VLO,45200000
VMC,27080000
VNO,3630000
VRSK,32250000
VRSN,20030000
VRTX,95210000
VTR,17060000
VTRS,10660000
VZ,148190000
WAB,18880000
WAT,14100000
WBA,17810000
WBD,24370000
WDC,13470000
WEC,26110000
WELL,43880000
WFC,145000000
WHR,5660000
WM,66260000
WMB,42370000
WMT,443920000
WRB,17490000
WRK,9270000
WST,23640000
WTW,24200000
WY,20840000
WYNN,9830000
XEL,33299999
XOM,423980000
XRAY,6470000
XYL,22690000
YUM,33980000
ZBH,21740000
ZBRA,10070000
ZION,4530000
ZTS,69890000
